t,truck_id,shovel_id,event,payload_t
7798.2,20,5,load,0.0
7819.8,6,101,return,0.0
7861.6,9,1,haul,58.5
7861.6,13,1,load,0.0
7866.4,5,3,haul,66.3
7866.4,19,3,load,0.0
7866.7,15,101,dump,64.8
7938.7,15,101,return,0.0
7977.7,4,101,dump,69.7
8034.7,4,101,return,0.0
8034.7,12,101,dump,62.7
8038.4,7,2,load,0.0
8038.4,16,2,haul,61.7
8088.3,2,101,dump,58.0
8088.3,12,101,return,0.0
8150.8,2,101,return,0.0
8159.3,18,101,dump,63.5
8196.7,3,4,haul,65.5
8211.5,8,3,load,0.0
8211.5,19,3,haul,61.1
8219.4,18,101,return,0.0
8219.4,1,1,load,0.0
8219.4,13,1,haul,65.8
8293.6,17,4,load,0.0
8395.6,9,101,dump,58.5
8470.1,9,101,return,0.0
8473.4,20,5,haul,60.0
8577.3,1,1,haul,57.2
8577.3,15,1,load,0.0
8606.7,14,101,dump,62.2
8610.2,6,5,load,0.0
8643.9,8,3,haul,70.4
8655.0,17,4,haul,67.6
8662.3,4,3,load,0.0
8673.8,14,101,return,0.0
8712.5,5,101,dump,66.3
8745.5,7,2,haul,58.5
8745.5,11,2,load,0.0
8768.4,5,101,return,0.0
8783.1,16,101,dump,61.7
8810.3,2,4,load,0.0
8833.8,16,101,return,0.0
8846.6,13,101,dump,65.8
8886.8,13,101,return,0.0
8893.9,10,101,dump,61.3
8948.9,10,101,return,0.0
9015.6,19,101,dump,61.1
9068.2,19,101,return,0.0
9101.5,1,101,dump,57.2
9121.2,4,3,haul,69.9
9121.2,18,3,load,0.0
9128.9,9,1,load,0.0
9128.9,15,1,haul,64.4
9157.8,1,101,return,0.0
9223.2,3,101,dump,65.5
9274.2,3,101,return,0.0
9362.6,6,5,haul,66.9
9387.3,2,4,haul,61.6
9395.9,7,101,dump,58.5
9405.9,11,2,haul,58.4
9405.9,12,2,load,0.0
9446.7,14,5,load,0.0
9447.2,7,101,return,0.0
9497.3,5,1,load,0.0
9497.3,9,1,haul,60.4
9508.4,18,3,haul,63.8
9509.9,16,4,load,0.0
9521.8,10,3,load,0.0
9522.6,8,101,dump,70.4
9568.5,8,101,return,0.0
9623.4,20,101,dump,60.0
9685.8,20,101,return,0.0
9699.7,15,101,dump,64.4
9742.2,15,101,return,0.0
9798.7,17,101,dump,67.6
9839.5,16,4,haul,63.5
9839.5,19,4,load,0.0
9854.7,17,101,return,0.0
9949.3,1,1,load,0.0
9949.3,5,1,haul,63.2
9991.0,4,101,dump,69.9
10003.9,3,3,load,0.0
10003.9,10,3,haul,64.4
10019.3,12,2,haul,61.9
10019.3,13,2,load,0.0
10028.4,4,101,return,0.0
10036.3,14,5,haul,55.9
10075.4,11,101,dump,58.4
10124.9,11,101,return,0.0
10137.2,9,101,dump,60.4
10141.8,7,5,load,0.0
10180.1,9,101,return,0.0
10311.4,3,3,haul,60.0
10311.4,15,3,load,0.0
10320.0,13,2,haul,64.1
10320.0,20,2,load,0.0
10344.9,19,4,haul,65.9
10377.5,18,101,dump,63.8
10437.3,18,101,return,0.0
10441.7,2,101,dump,61.6
10454.9,1,1,haul,58.0
10454.9,8,1,load,0.0
10492.2,2,101,return,0.0
10502.9,5,101,dump,63.2
10550.0,5,101,return,0.0
10567.1,6,101,dump,66.9
10604.6,7,5,haul,64.3
10622.5,6,101,return,0.0
10643.9,17,4,load,0.0
10697.1,15,3,haul,69.2
10736.4,12,101,dump,61.9
10791.1,12,101,return,0.0
10830.9,10,101,dump,64.4
10881.7,10,101,return,0.0
10895.1,16,101,dump,63.5
10928.6,18,3,load,0.0
10943.2,9,5,load,0.0
10951.6,16,101,return,0.0
10983.3,13,101,dump,64.1
10986.1,4,1,load,0.0
10986.1,8,1,haul,61.2
11038.7,1,101,dump,58.0
11038.7,13,101,return,0.0
11049.8,11,2,load,0.0
11049.8,20,2,haul,66.6
11096.0,1,101,return,0.0
11111.9,3,101,dump,60.0
11133.8,17,4,haul,57.7
11164.1,3,101,return,0.0
11191.0,14,101,dump,55.9
11218.6,6,3,load,0.0
11218.6,18,3,haul,60.8
11249.0,14,101,return,0.0
11370.1,19,101,dump,65.9
11420.5,19,101,return,0.0
11468.7,2,1,load,0.0
11468.7,4,1,haul,66.9
11512.0,9,5,haul,62.8
11513.1,12,4,load,0.0
11516.7,8,101,dump,61.2
11572.4,8,101,return,0.0
11591.8,15,101,dump,69.2
11651.8,15,101,return,0.0
11655.2,6,3,haul,55.0
11705.8,3,3,load,0.0
11706.4,16,5,load,0.0
11738.6,20,101,dump,66.6
11791.2,20,101,return,0.0
11806.8,7,101,dump,64.3
11864.2,7,101,return,0.0
11872.5,5,2,load,0.0
11872.5,11,2,haul,59.1
11888.7,10,4,load,0.0
11888.7,12,4,haul,62.3
12005.1,2,1,haul,64.1
12005.1,13,1,load,0.0
12019.2,4,101,dump,66.9
12032.2,3,3,haul,58.5
12032.2,14,3,load,0.0
12088.7,4,101,return,0.0
12088.7,18,101,dump,60.8
12137.5,17,101,dump,57.7
12137.5,18,101,return,0.0
12169.1,16,5,haul,57.6
12182.9,19,5,load,0.0
12189.8,17,101,return,0.0
12329.9,10,4,haul,60.7
12329.9,15,4,load,0.0
12423.3,6,101,dump,55.0
12425.1,1,2,load,0.0
12425.1,5,2,haul,62.1
12471.9,6,101,return,0.0
12488.2,8,1,load,0.0
12488.2,13,1,haul,61.0
12496.0,14,3,haul,67.9
12496.0,20,3,load,0.0
12509.3,19,5,haul,58.1
12514.7,11,101,dump,59.1
12562.2,11,101,return,0.0
12586.3,2,101,dump,64.1
12648.3,2,101,return,0.0
12681.9,9,101,dump,62.8
12700.6,7,5,load,0.0
12743.3,9,101,return,0.0
12809.8,15,4,haul,63.4
12852.6,3,101,dump,58.5
12884.7,17,3,load,0.0
12884.7,20,3,haul,58.6
12909.0,3,101,return,0.0
12939.9,4,1,load,0.0
12939.9,8,1,haul,59.8
12946.5,12,101,dump,62.3
12995.4,12,101,return,0.0
13001.6,1,2,haul,56.8
13001.6,18,2,load,0.0
